Supplementary Table 2. Phase separation probability of all the reviewed human proteins			
Uniprot	Gene	Probability	Type
Q5T7P3	LCE1B	0.257	Other
Q9ULP0	NDRG4	0.257	Other
O14975	S27A2	0.257	Other
Q9C0C4	SEM4C	0.257	Other
O60880	SH21A	0.257	Other
Q16143	SYUB	0.257	Other
Q5TAA0	TTC22	0.257	Other
Q96C45	ULK4	0.257	Other
Q8N9Z0	ZN610	0.257	Other
Q8WV99	ZFN2B	0.257	Other
Q9NVJ2	ARL8B	0.256	Other
Q969V4	TEKT1	0.256	Other
Q9H4G4	GAPR1	0.256	Other
P53680	AP2S1	0.256	Other
P42330	AK1C3	0.256	Other
P78346	RPP30	0.256	Other
O60516	4EBP3	0.256	Other
O43423	AN32C	0.256	Other
E9PGG2	ANHX	0.256	Other
P98196	AT11A	0.256	Other
Q9H3F6	BACD3	0.256	Other
Q96BA8	CR3L1	0.256	Other
Q92988	DLX4	0.256	Other
Q9NR20	DYRK4	0.256	Other
Q8IXS0	F217A	0.256	Other
Q14314	FGL2	0.256	Other
P22083	FUT4	0.256	Other
Q5JUK9	PAGE3	0.256	Other
Q9NS40	KCNH7	0.256	Other
P60368	KR102	0.256	Other
Q9BYR0	KRA47	0.256	Other
P13056	NR2C1	0.256	Other
Q99742	NPAS1	0.256	Other
Q9H611	PIF1	0.256	Other
Q9H7Z7	PGES2	0.256	Other
Q9UIG4	PS1C2	0.256	Other
Q9H5Y7	SLIK6	0.256	Other
O15266	SHOX	0.256	Other
Q6P5R6	RL22L	0.256	Other
Q9H2W6	RM46	0.256	Other
Q5K4L6	S27A3	0.256	Other
Q9HCY8	S10AE	0.256	Other
Q8IVW8	SPNS2	0.256	Other
P56962	STX17	0.256	Other
P51687	SUOX	0.256	Other
P68543	UBX2A	0.256	Other
Q9NQZ6	ZC4H2	0.256	Other
Q86XD8	ZFAN4	0.256	Other
Q9UNA1	RHG26	0.255	Other
O75764	TCEA3	0.255	Other
Q8TC44	POC1B	0.255	Other
Q9HB09	B2L12	0.255	Other
P51861	CDR1	0.255	Other
Q96S95	CK2N2	0.255	Other
Q9NUV9	GIMA4	0.255	Other
P01893	HLAH	0.255	Other
Q6NSI8	K1841	0.255	Other
O60882	MMP20	0.255	Other
A8MTQ0	NOTO	0.255	Other
Q9Y4A8	NF2L3	0.255	Other
Q96IW2	SHD	0.255	Other
Q86UD0	SAPC2	0.255	Other
Q9H2Y9	SO5A1	0.255	Other
Q9BXB7	SPT16	0.255	Other
Q96RM1	SPR2F	0.255	Other
Q8TDI7	TMC2	0.255	Other
Q5VVX9	UBE2U	0.255	Other
Q70EK9	UBP51	0.255	Other
O14771	ZN213	0.255	Other
Q8IVP9	ZN547	0.255	Other
Q9H8U3	ZFAN3	0.255	Other
P61024	CKS1	0.254	Other
Q8WXS3	BAALC	0.254	Other
P20337	RAB3B	0.254	Other
Q8NF67	A2012	0.254	Other
Q99929	ASCL2	0.254	Other
Q4VNC0	AT135	0.254	Other
A6NGH7	CC160	0.254	Other
Q9BPX7	CG025	0.254	Other
Q7Z4W1	DCXR	0.254	Other
Q8N9N8	EIF1A	0.254	Other
Q9H3H3	CK068	0.254	Other
Q9Y4M8	CH071	0.254	Other
Q96N76	HUTU	0.254	Other
Q7Z4N8	P4HA3	0.254	Other
Q96M94	KLH15	0.254	Other
Q9NPI7	KRCC1	0.254	Other
Q9HBX8	LGR6	0.254	Other
Q2M296	MTHSD	0.254	Other
O75469	NR1I2	0.254	Other
Q9Y4Z2	NGN3	0.254	Other
P78562	PHEX	0.254	Other
P22103	PNEU	0.254	Other
Q9Y286	SIGL7	0.254	Other
Q8IUC4	RHPN2	0.254	Other
P53803	RPAB4	0.254	Other
Q9Y345	SC6A5	0.254	Other
Q9HAJ7	SP30L	0.254	Other
Q56UQ5	TPT1L	0.254	Other
P17041	ZNF32	0.254	Other
Q9HBF4	ZFYV1	0.254	Other
Q8WUJ0	STYX	0.253	Other
A2A3K4	PTPC1	0.253	Other
Q9H6W3	NO66	0.253	Other
O75326	SEM7A	0.253	Other
Q9NXL2	ARH38	0.253	Other
Q9NPF0	CD320	0.253	Other
Q9BX69	CARD6	0.253	Other
O75956	CDKA2	0.253	Other
Q6PJW8	CNST	0.253	Other
Q9BXV9	CN142	0.253	Other
Q92562	FIG4	0.253	Other
O43187	IRAK2	0.253	Other
Q149M9	NWD1	0.253	Other
Q6UXH9	PAMR1	0.253	Other
Q53GT1	KLH22	0.253	Other
Q5T7P2	LCE1A	0.253	Other
O43679	LDB2	0.253	Other
P48742	LHX1	0.253	Other
P43360	MAGA6	0.253	Other
Q96G30	MRAP2	0.253	Other
Q9BRP4	PAAF1	0.253	Other
Q96JA3	PKHA8	0.253	Other
Q16378	PROL4	0.253	Other
O00559	RCAS1	0.253	Other
Q9NX20	RM16	0.253	Other
Q9UGH3	S23A2	0.253	Other
Q14108	SCRB2	0.253	Other
Q8TB22	SPT20	0.253	Other
Q496A3	SPAS1	0.253	Other
A0A087X1G2	TBC3K	0.253	Other
Q5VWI1	TCRGL	0.253	Other
P63316	TNNC1	0.253	Other
Q8WWM1	XAGE5	0.253	Other
Q8N3U1	YS014	0.253	Other
O15305	PMM2	0.252	Other
Q9NUJ3	T11L1	0.252	Other
P18505	GBRB1	0.252	Other
P48169	GBRA4	0.252	Other
Q99627	CSN8	0.252	Other
P51946	CCNH	0.252	Other
P43897	EFTS	0.252	Other
P34969	5HT7R	0.252	Other
P30499	1C01	0.252	Other
P01008	ANT3	0.252	Other
P08236	BGLR	0.252	Other
O95861	BPNT1	0.252	Other
Q9BZE3	BARH1	0.252	Other
Q9H227	GBA3	0.252	Other
Q6Y2X3	DJC14	0.252	Other
Q8N9I9	DTX3	0.252	Other
Q6PEX3	KR261	0.252	Other
Q8IXV7	KLD8B	0.252	Other
O75019	LIRA1	0.252	Other
P42679	MATK	0.252	Other
Q6ZU15	14-Sep	0.252	Other
Q8TDP1	RNH2C	0.252	Other
Q9BXS9	S26A6	0.252	Other
Q96BD0	SO4A1	0.252	Other
Q9HAC7	SUCHY	0.252	Other
Q0IIM8	TBC8B	0.252	Other
O60347	TBC12	0.252	Other
Q5FWF6	ZN789	0.252	Other
Q6WRX3	ZY11A	0.252	Other
Q9UI14	PRAF1	0.251	Other
Q6ZRY4	RBPS2	0.251	Other
Q9H936	GHC1	0.251	Other
Q9NP58	ABCB6	0.251	Other
P46098	5HT3A	0.251	Other
Q8IV38	ANKY2	0.251	Other
Q8TDL5	BPIB1	0.251	Other
Q8N865	CG031	0.251	Other
P52569	CTR2	0.251	Other
O95257	GA45G	0.251	Other
Q8TE85	GRHL3	0.251	Other
Q9Y4H4	GPSM3	0.251	Other
P48506	GSH1	0.251	Other
Q8N0U4	F185A	0.251	Other
Q6ZV65	FA47E	0.251	Other
O75223	GGCT	0.251	Other
P60014	KR10A	0.251	Other
Q12912	LRMP	0.251	Other
P01699	LV101	0.251	Other
Q8NHP6	MSPD2	0.251	Other
Q8N8W4	PLPL1	0.251	Other
P22528	SPR1B	0.251	Other
Q9HD45	TM9S3	0.251	Other
P58304	VSX2	0.251	Other
Q5GFL6	VWA2	0.251	Other
Q6NXT4	ZNT6	0.251	Other
Q14832	GRM3	0.25	Other
Q496Y0	LONF3	0.25	Other
O43617	TPPC3	0.25	Other
Q92979	NEP1	0.25	Other
P35858	ALS	0.25	Other
A6NCJ1	CS071	0.25	Other
Q9UKB3	DJC12	0.25	Other
Q8WWF6	DNJB3	0.25	Other
A8MTA8	F166B	0.25	Other
Q9BSK4	FEM1A	0.25	Other
A6NF83	NUR1L	0.25	Other
Q13614	MTMR2	0.25	Other
Q8TAT5	NEIL3	0.25	Other
O15428	PINL	0.25	Other
P54829	PTN5	0.25	Other
Q7Z7L1	SLN11	0.25	Other
Q14CB8	RHG19	0.25	Other
Q8N0S2	SYCE1	0.25	Other
A1YPR0	ZBT7C	0.25	Other
Q13087	PDIA2	0.249	Other
Q9NTJ5	SAC1	0.249	Other
P01011	AACT	0.249	Other
P58335	ANTR2	0.249	Other
Q96DE5	APC16	0.249	Other
Q5JTY5	CBWD3	0.249	Other
Q9Y6W6	DUS10	0.249	Other
Q92611	EDEM1	0.249	Other
Q8WTQ7	GRK7	0.249	Other
Q16478	GRIK5	0.249	Other
Q99966	CITE1	0.249	Other
Q63HN1	F205B	0.249	Other
Q9Y5Y0	FLVC1	0.249	Other
Q9BYE0	HES7	0.249	Other
P03971	MIS	0.249	Other
Q9BYQ5	KRA46	0.249	Other
Q8IUC0	KR131	0.249	Other
Q9BYE3	LCE3D	0.249	Other
Q9H2C1	LHX5	0.249	Other
A6NI15	MSGN1	0.249	Other
P02795	MT2	0.249	Other
Q5H9M0	MUML1	0.249	Other
Q01658	NC2B	0.249	Other
Q9BT67	NFIP1	0.249	Other
A6NKC9	SH2D7	0.249	Other
P82932	RT06	0.249	Other
P82664	RT10	0.249	Other
B9A6J9	TBC3L	0.249	Other
P57727	TMPS3	0.249	Other
Q8WZ71	TM158	0.249	Other
Q8WU66	TSEAR	0.249	Other
O75762	TRPA1	0.249	Other
Q9UBI6	GBG12	0.248	Other
Q13825	AUHM	0.248	Other
Q8WW32	HMGB4	0.248	Other
Q9H0J9	PAR12	0.248	Other
Q6IAN0	DRS7B	0.248	Other
Q8IW41	MAPK5	0.248	Other
Q9NRH3	TBG2	0.248	Other
P15086	CBPB1	0.248	Other
Q96MW1	CCD43	0.248	Other
Q86UT8	CCD84	0.248	Other
Q8N6G5	CGAT2	0.248	Other
Q6Q6R5	CRIP3	0.248	Other
Q8TC29	ENKUR	0.248	Other
Q9H4S2	GSX1	0.248	Other
Q05329	DCE2	0.248	Other
Q4G163	FBX43	0.248	Other
Q6MZW2	FSTL4	0.248	Other
Q9H3C7	GGNB2	0.248	Other
Q93099	HGD	0.248	Other
P24592	IBP6	0.248	Other
Q9H306	MMP27	0.248	Other
Q8NFA2	NOXO1	0.248	Other
Q9BUH6	PAXX	0.248	Other
P08567	PLEK	0.248	Other
Q9BZG1	RAB34	0.248	Other
Q7M4L6	SHF	0.248	Other
M0QZC1	RN225	0.248	Other
Q9NS25	SPNXB	0.248	Other
Q1ZZU3	SWI5	0.248	Other
Q5T0J7	TEX35	0.248	Other
A6NFA1	TIKI2	0.248	Other
Q9C029	TRIM7	0.248	Other
O43895	XPP2	0.248	Other
Q9UIE0	ZN230	0.248	Other
Q8IVC4	ZN584	0.248	Other
Q9Y330	ZBT12	0.248	Other
Q99633	PRP18	0.247	Other
Q9UK59	DBR1	0.247	Other
P19623	SPEE	0.247	Other
Q15274	NADC	0.247	Other
O75616	ERAL1	0.247	Other
Q6IAA8	LTOR1	0.247	Other
Q96MT3	PRIC1	0.247	Other
Q9UK22	FBX2	0.247	Other
Q8NC06	ACBD4	0.247	Other
P56817	BACE1	0.247	Other
Q9P241	AT10D	0.247	Other
Q2M243	CCD27	0.247	Other
Q96CU9	FXRD1	0.247	Other
Q5T1B1	CJ091	0.247	Other
P59665	DEF1	0.247	Other
Q9NX36	DJC28	0.247	Other
Q8IVU3	HERC6	0.247	Other
P01861	IGHG4	0.247	Other
Q14D04	MELT	0.247	Other
Q8WWZ8	OIT3	0.247	Other
P01709	LV206	0.247	Other
Q15466	NR0B2	0.247	Other
Q8N807	PDILT	0.247	Other
A6NIE9	PRS29	0.247	Other
Q07837	SLC31	0.247	Other
Q9UIG8	SO3A1	0.247	Other
Q8NDN9	RCBT1	0.247	Other
O95199	RCBT2	0.247	Other
Q9HB90	RRAGC	0.247	Other
Q13183	S13A2	0.247	Other
Q17RP2	TIGD6	0.247	Other
Q9UKU6	TRHDE	0.247	Other
Q6ZSR3	YO027	0.247	Other
Q8NA96	YE027	0.247	Other
Q15649	ZNHI3	0.247	Other
Q6SZW1	SARM1	0.246	Other
O75348	VATG1	0.246	Other
P42575	CASP2	0.246	Other
Q9Y2G0	EFR3B	0.246	Other
P49902	5NTC	0.246	Other
P30556	AGTR1	0.246	Other
Q8NAG6	ANKL1	0.246	Other
P15289	ARSA	0.246	Other
P51689	ARSD	0.246	Other
P07451	CAH3	0.246	Other
Q96HA4	CA159	0.246	Other
Q8N4Y2	EFC4A	0.246	Other
P40197	GPV	0.246	Other
Q9GZS0	DNAI2	0.246	Other
A8K855	EFCB7	0.246	Other
Q6P179	ERAP2	0.246	Other
Q16534	HLF	0.246	Other
P14784	IL2RB	0.246	Other
O60662	KLH41	0.246	Other
Q9C0I9	LRC27	0.246	Other
O60675	MAFK	0.246	Other
P59046	NAL12	0.246	Other
Q5VWK0	NBPF6	0.246	Other
P25208	NFYB	0.246	Other
Q6ZWH5	NEK10	0.246	Other
Q8IWE5	PKHM2	0.246	Other
Q9H3Y8	PPDPF	0.246	Other
B2RU33	POTEC	0.246	Other
Q9NQV5	PRD11	0.246	Other
Q15256	PTPRR	0.246	Other
Q7Z5B4	RIC3	0.246	Other
A0PJK1	SC5AA	0.246	Other
Q9H446	RWDD1	0.246	Other
Q8WTV0	SCRB1	0.246	Other
O60279	SUSD5	0.246	Other
Q8TCT7	SPP2B	0.246	Other
O95363	SYFM	0.246	Other
Q8TDI8	TMC1	0.246	Other
O14798	TR10C	0.246	Other
Q9H8W5	TRI45	0.246	Other
Q8N9L1	ZIC4	0.246	Other
E7ETH6	Z587B	0.246	Other
Q96RR1	PEO1	0.245	Other
Q96RD6	PANX2	0.245	Other
Q5JVF3	PCID2	0.245	Other
Q02127	PYRD	0.245	Other
Q5U4P2	ASPH1	0.245	Other
Q9Y5Z0	BACE2	0.245	Other
Q6ZRV3	CC074	0.245	Other
Q5VU57	CBPC6	0.245	Other
A6NFT4	CC42B	0.245	Other
Q6ZUS6	CC149	0.245	Other
Q9P2B2	FPRP	0.245	Other
Q8IYK4	GT252	0.245	Other
Q6PI97	CK088	0.245	Other
Q6J272	F166A	0.245	Other
Q96MZ4	F218A	0.245	Other
Q9Y3D6	FIS1	0.245	Other
Q9BYR4	KRA43	0.245	Other
Q9H239	MMP28	0.245	Other
Q5VZE5	NAA35	0.245	Other
Q9Y4G2	PKHM1	0.245	Other
P57768	SNX16	0.245	Other
Q9Y6X3	SCC4	0.245	Other
Q7RTY8	TMPS7	0.245	Other
Q99757	THIOM	0.245	Other
Q6NXR4	TTI2	0.245	Other
Q9HBJ7	UBP29	0.245	Other
Q8NBT0	POC1A	0.244	Other
Q9BXJ3	C1QT4	0.244	Other
P02730	B3AT	0.244	Other
Q7Z6G3	NECA2	0.244	Other
Q9NSB8	HOME2	0.244	Other
O95626	AN32D	0.244	Other
Q7Z3S7	CA2D4	0.244	Other
Q9Y625	GPC6	0.244	Other
Q6P4Q7	CNNM4	0.244	Other
P59074	CHM4P	0.244	Other
Q8IZ52	CHSS2	0.244	Other
Q96F81	DISP1	0.244	Other
Q9HCU8	DPOD4	0.244	Other
P55040	GEM	0.244	Other
Q9HBE5	IL21R	0.244	Other
Q86VZ6	JAZF1	0.244	Other
Q9HA64	KT3K	0.244	Other
Q6L8G9	KRA56	0.244	Other
Q3SXY7	LRIT3	0.244	Other
Q9UM63	PLAL1	0.244	Other
Q9UPG8	PLAL2	0.244	Other
I3L0S3	PYAS1	0.244	Other
Q9Y6L6	SO1B1	0.244	Other
O60830	TI17B	0.244	Other
Q96NG5	ZN558	0.244	Other
Q9Y487	VPP2	0.244	Other
Q96SY0	VWA9	0.244	Other
Q8N859	ZN713	0.244	Other
Q86W11	ZSC30	0.244	Other
Q9Y287	ITM2B	0.243	Other
Q92544	TM9S4	0.243	Other
A0A0B4J269	NA	0.243	Other
Q08828	ADCY1	0.243	Other
Q9NQ90	ANO2	0.243	Other
Q96DT6	ATG4C	0.243	Other
Q9UMQ6	CAN11	0.243	Other
Q9H693	CP095	0.243	Other
Q9H4R4	CT191	0.243	Other
Q8IXK2	GLT12	0.243	Other
P51841	GUC2F	0.243	Other
Q86WZ0	HEAT4	0.243	Other
Q9HCC6	HES4	0.243	Other
Q14952	KI2S3	0.243	Other
Q8IUC3	KRA71	0.243	Other
Q07627	KRA11	0.243	Other
Q3KP22	CK085	0.243	Other
P21941	MATN1	0.243	Other
Q6ZUA9	MROH5	0.243	Other
Q86W25	NAL13	0.243	Other
A6NEV1	PR23A	0.243	Other
Q86TJ2	TAD2B	0.243	Other
Q9BSW7	SYT17	0.243	Other
Q7RTX0	TS1R3	0.243	Other
Q8WU68	U2AF4	0.243	Other
Q71RG6	YH006	0.243	Other
Q8NEZ2	VP37A	0.243	Other
P54868	HMCS2	0.242	Other
P11926	DCOR	0.242	Other
Q495Z4	ASAS1	0.242	Other
Q8N1D0	BWR1B	0.242	Other
Q93088	BHMT1	0.242	Other
Q6ZRR9	DCDC5	0.242	Other
P34059	GALNS	0.242	Other
Q96IG2	FXL20	0.242	Other
Q8IVM7	CM029	0.242	Other
Q16280	CNGA2	0.242	Other
Q14184	DOC2B	0.242	Other
P23141	EST1	0.242	Other
Q5U4N7	GDF5O	0.242	Other
P22304	IDS	0.242	Other
Q8WX77	IBPL1	0.242	Other
Q96G61	NUD11	0.242	Other
Q5TA82	LCE2D	0.242	Other
Q9NZU5	LMCD1	0.242	Other
Q9NZB8	MOCS1	0.242	Other
Q8TDC0	MYOZ3	0.242	Other
Q9UKJ1	PILRA	0.242	Other
O14986	PI51B	0.242	Other
Q9Y244	POMP	0.242	Other
A6NEC2	PSAL	0.242	Other
P09430	STP1	0.242	Other
F5GYI3	UBA1L	0.242	Other
Q6P9G9	ZN449	0.242	Other
P28161	GSTM2	0.241	Other
P41567	EIF1	0.241	Other
Q96E17	RAB3C	0.241	Other
O43402	EMC8	0.241	Other
P51828	ADCY7	0.241	Other
Q96SZ5	AEDO	0.241	Other
Q9BRT7	CA097	0.241	Other
Q9P021	CRIPT	0.241	Other
P42685	FRK	0.241	Other
Q96D53	ADCK4	0.241	Other
Q8IWF6	DEN6A	0.241	Other
P20036	DPA1	0.241	Other
Q96BN6	F149B	0.241	Other
Q9BQL6	FERM1	0.241	Other
Q6NZ36	FAP20	0.241	Other
Q9HBQ8	GGA2B	0.241	Other
P36959	GMPR1	0.241	Other
Q8N344	MIER2	0.241	Other
P07864	LDHC	0.241	Other
O15481	MAGB4	0.241	Other
Q147X3	NAA30	0.241	Other
Q969G9	NKD1	0.241	Other
Q9GZV3	SC5A7	0.241	Other
Q8N6V9	TEX9	0.241	Other
Q96MN5	TEAN2	0.241	Other
Q9NVE5	UBP40	0.241	Other
Q9P2H5	UBP35	0.241	Other
Q9P2U8	VGLU2	0.241	Other
Q96GT9	XAGE2	0.241	Other
Q8TAD4	ZNT5	0.241	Other
O95125	ZN202	0.241	Other
P0C880	YT014	0.241	Other
Q9NR22	ANM8	0.24	Other
Q9H4A4	AMPB	0.24	Other
P00540	MOS	0.24	Other
Q96AK3	ABC3D	0.24	Other
Q8NAV2	CH058	0.24	Other
Q10472	GALT1	0.24	Other
Q8N7H1	CL061	0.24	Other
Q96F85	CNRP1	0.24	Other
A5YM72	CRNS1	0.24	Other
Q9BQM9	CT144	0.24	Other
Q2NKJ3	CTC1	0.24	Other
Q9UHF1	EGFL7	0.24	Other
P31995	FCG2C	0.24	Other
Q9UBP5	HEY2	0.24	Other
P45452	MMP13	0.24	Other
Q8TAD7	OCC1	0.24	Other
Q5TA78	LCE4A	0.24	Other
Q3LI61	KR202	0.24	Other
Q6P3R8	NEK5	0.24	Other
Q9H7J1	PPR3E	0.24	Other
Q15238	PSG5	0.24	Other
Q86XK3	SFR1	0.24	Other
Q96H35	RBM18	0.24	Other
Q8TC41	RN217	0.24	Other
Q9UHV5	RPGFL	0.24	Other
Q9BXY4	RSPO3	0.24	Other
Q6ZMJ2	SCAR5	0.24	Other
Q96LK8	SPT32	0.24	Other
Q8NHX4	SPTA3	0.24	Other
Q9Y2C9	TLR6	0.24	Other
Q6S9Z5	ZN474	0.24	Other
Q5T848	GP158	0.239	Other
P62745	RHOB	0.239	Other
P13987	CD59	0.239	Other
Q8IZF3	GP115	0.239	Other
Q9BQE5	APOL2	0.239	Other
Q96SQ7	ATOH8	0.239	Other
Q8TDH9	BL1S5	0.239	Other
Q8TCT0	CERK1	0.239	Other
Q569G3	CE047	0.239	Other
P63218	GBG5	0.239	Other
Q96RK1	CITE4	0.239	Other
Q5SY13	COAS1	0.239	Other
P48664	EAA4	0.239	Other
P08476	INHBA	0.239	Other
Q96A46	MFRN2	0.239	Other
Q9NZ20	PA2G3	0.239	Other
O14633	LCE2B	0.239	Other
Q6DN12	MCTP2	0.239	Other
P78549	NTH	0.239	Other
Q8NFP7	NUD10	0.239	Other
O75901	RASF9	0.239	Other
Q96PX8	SLIK1	0.239	Other
Q13214	SEM3B	0.239	Other
Q96M53	TBATA	0.239	Other
Q9P2T0	THEG	0.239	Other
P02585	TNNC2	0.239	Other
Q8IY51	TIGD4	0.239	Other
Q7Z2W7	TRPM8	0.239	Other
P0C7H9	U17L7	0.239	Other
P48637	GSHB	0.238	Other
Q9BPX5	ARP5L	0.238	Other
P17568	NDUB7	0.238	Other
C9JTQ0	ANR63	0.238	Other
Q9H8W3	F204A	0.238	Other
O60551	NMT2	0.238	Other
Q9NP55	BPIA1	0.238	Other
Q8N0U7	CA087	0.238	Other
Q9UHL4	DPP2	0.238	Other
Q9UJT9	FBXL7	0.238	Other
Q9UPZ3	HPS5	0.238	Other
Q8TDB4	HUMMR	0.238	Other
O75473	LGR5	0.238	Other
A8MXT2	MAGBH	0.238	Other
Q8N328	PGBD3	0.238	Other
Q969W9	PMEPA	0.238	Other
Q15835	RK	0.238	Other
Q9BXP2	S12A9	0.238	Other
Q8WWV3	RT4I1	0.238	Other
Q5VX52	SPAT1	0.238	Other
A0A087WVF3	TBC3D	0.238	Other
Q9UDV6	ZN212	0.238	Other
Q9HBM0	VEZA	0.238	Other
Q6ZST2	ZCH23	0.238	Other
Q9H4T2	ZSC16	0.238	Other
P46926	GNPI1	0.237	Other
P22612	KAPCG	0.237	Other
Q8IYX3	CC116	0.237	Other
Q05823	RN5A	0.237	Other
Q9H6P5	TASP1	0.237	Other
Q8N111	CEND	0.237	Other
Q9P0K9	FRS1L	0.237	Other
P42771	CD2A1	0.237	Other
P20916	MAG	0.237	Other
Q6ICG6	K0930	0.237	Other
Q6HA08	ASTL	0.237	Other
Q9BXN1	ASPN	0.237	Other
Q6ZNE5	BAKOR	0.237	Other
Q96MC9	CA147	0.237	Other
Q96AQ1	CC74A	0.237	Other
Q8N801	CB061	0.237	Other
O95873	CF047	0.237	Other
P61550	ENVT1	0.237	Other
Q9H2J1	CI037	0.237	Other
Q68DL7	CR063	0.237	Other
Q9N2K0	ENH1	0.237	Other
Q96C11	FGGY	0.237	Other
Q9NVK5	FGOP2	0.237	Other
P43220	GLP1R	0.237	Other
P28358	HXD10	0.237	Other
P14778	IL1R1	0.237	Other
Q502X0	MORN2	0.237	Other
Q969Q6	P2R3C	0.237	Other
Q9NWZ3	IRAK4	0.237	Other
O60259	KLK8	0.237	Other
Q8N752	KC1AL	0.237	Other
P43630	KI3L2	0.237	Other
Q9ULD8	KCNH3	0.237	Other
Q86Z14	KLOTB	0.237	Other
Q5BKX8	MURC	0.237	Other
P0C2Y1	NBPF7	0.237	Other
Q9NS98	SEM3G	0.237	Other
Q96EL3	RM53	0.237	Other
Q86UG4	SO6A1	0.237	Other
Q8N2I9	STK40	0.237	Other
O75333	TBX10	0.237	Other
P48553	TPC10	0.237	Other
O60290	ZN862	0.237	Other
Q9H019	MFR1L	0.236	Other
O43709	WBS22	0.236	Other
Q92828	COR2A	0.236	Other
Q8WUW1	BRK1	0.236	Other
Q7LC44	ARC	0.236	Other
Q9UHL0	DDX25	0.236	Other
Q9HA65	TBC17	0.236	Other
Q9Y2N7	HIF3A	0.236	Other
Q9UBZ4	APEX2	0.236	Other
Q9H6S1	AZI2	0.236	Other
Q7L3V2	BOP	0.236	Other
Q69YN2	C19L1	0.236	Other
P08571	CD14	0.236	Other
Q9H3R5	CENPH	0.236	Other
Q92851	CASPA	0.236	Other
Q9H6D7	HAUS4	0.236	Other
Q8NHS4	CLHC1	0.236	Other
Q8N9R0	CP081	0.236	Other
Q68CJ9	CR3L3	0.236	Other
Q8NBC4	CT203	0.236	Other
B1AL88	F155A	0.236	Other
Q13630	FCL	0.236	Other
Q9BYI3	HYCCI	0.236	Other
Q96NU7	HUTI	0.236	Other
Q7Z3K6	MIER3	0.236	Other
Q8IUG1	KRA13	0.236	Other
Q6UWM7	LCTL	0.236	Other
P01706	LV203	0.236	Other
Q9Y239	NOD1	0.236	Other
Q9UKF7	PITC1	0.236	Other
P49795	RGS19	0.236	Other
O15041	SEM3E	0.236	Other
Q5BIV9	SPRN	0.236	Other
Q5VWJ9	SNX30	0.236	Other
O75486	SUPT3	0.236	Other
A0A087WXS9	TBC3I	0.236	Other
Q96Q11	TRNT1	0.236	Other
A6NCW7	U17L4	0.236	Other
Q9Y5W5	WIF1	0.236	Other
O00767	ACOD	0.235	Other
P49802	RGS7	0.235	Other
O15535	ZSC9	0.235	Other
Q9UIJ7	KAD3	0.235	Other
P55039	DRG2	0.235	Other
P22676	CALB2	0.235	Other
Q5TEZ5	CF163	0.235	Other
Q5T4H9	CSC10	0.235	Other
Q4V326	GAG2E	0.235	Other
Q8IYS0	GRM1C	0.235	Other
A8MVW5	HECA2	0.235	Other
Q9BU40	CRDL1	0.235	Other
Q05DH4	F16A1	0.235	Other
Q3LI70	KR196	0.235	Other
P01701	LV103	0.235	Other
Q9GZZ1	NAA50	0.235	Other
Q9NQW5	PRDM7	0.235	Other
O43490	PROM1	0.235	Other
Q9BQ83	SLX1	0.235	Other
P49758	RGS6	0.235	Other
Q9NSQ0	RRP7B	0.235	Other
Q7Z3H4	SAMD7	0.235	Other
Q9BYE4	SPR2G	0.235	Other
Q6ZMV5	SMEK3	0.235	Other
Q8WWA1	TMM40	0.235	Other
Q9Y210	TRPC6	0.235	Other
Q6R6M4	U17L2	0.235	Other
Q6P2S7	GNN	0.235	Other
Q5XG85	U633C	0.235	Other
Q86VN1	VPS36	0.235	Other
Q96IU2	ZBED3	0.235	Other
Q96SF2	TCPQM	0.234	Other
P61225	RAP2B	0.234	Other
Q9UQ03	COR2B	0.234	Other
O43676	NDUB3	0.234	Other
Q32M45	ANO4	0.234	Other
Q03154	ACY1	0.234	Other
P43652	AFAM	0.234	Other
Q9GZN1	ARP6	0.234	Other
Q8IYR0	CF165	0.234	Other
P00156	CYB	0.234	Other
Q7Z7J9	CK2N1	0.234	Other
Q14129	DGCR6	0.234	Other
Q5XKR9	F104B	0.234	Other
Q9HCQ5	GALT9	0.234	Other
Q8WWB7	GLMP	0.234	Other
P26440	IVD	0.234	Other
Q9Y3C7	MED31	0.234	Other
Q99983	OMD	0.234	Other
Q3LI77	KR134	0.234	Other
Q6ZMV7	LEKR1	0.234	Other
Q8N9Z9	LMTD1	0.234	Other
O95436	NPT2B	0.234	Other
A8MVU1	NCF1C	0.234	Other
P15559	NQO1	0.234	Other
Q9NS26	SPNXA	0.234	Other
Q7L1I2	SV2B	0.234	Other
Q8NA92	THAP8	0.234	Other
Q8IWR1	TRI59	0.234	Other
P55851	UCP2	0.234	Other
O76076	WISP2	0.234	Other
O75541	ZN821	0.234	Other
Q9UET6	TRM7	0.233	Other
O60930	RNH1	0.233	Other
O60218	AK1BA	0.233	Other
Q8TF27	AGA11	0.233	Other
Q8N1P7	AIM1L	0.233	Other
Q32M88	ATHL1	0.233	Other
Q9NR55	BATF3	0.233	Other
A6NFR6	CE060	0.233	Other
P62508	ERR3	0.233	Other
A6NGK3	GAG10	0.233	Other
P36980	FHR2	0.233	Other
Q96JP0	FEM1C	0.233	Other
P05546	HEP2	0.233	Other
P32754	HPPD	0.233	Other
Q9Y5N6	ORC6	0.233	Other
Q9H478	KCQ1D	0.233	Other
